ID в системе;Название;Описание;Цена;Скидка (в процентах);"Изображения (через ;)";"Названия опций (через ;)";"Названия доп. опций (через ;)";Дата создания;Категория
38932;Versace Eros energy 100мл eau de parfum ;"Versace Eros energy eau de parfum, 100мл.

Eros Energy выпущен в 2024 году. Верхние ноты: Лимон, Лайм, Грейпфрут, Красный апельсин, Сицилийский бергамот и Мандарин; средние ноты: Розовый перец, Белая амбра и Черная смородина; базовые ноты: Мускус, Дубовый мох и Пачули.";7500 ₽;0;https://api.chatmarket.io/storage/1757594162794-298746520-MTc1N.jpg;;;03:36 11.09.2025;Без категории
38925;Versace Eros flame 100мл eau de parfum ;"Versace Eros flame eau de parfum 100мл

Верхние ноты: Мандарин, Мадагаскарский перец, Лимон, Чинотто и Розмарин; средние ноты: Герань, Роза и Pepperwood™; базовые ноты: Ваниль, Бобы тонка, Сандал, Техасский кедр, Пачули и Дубовый мох.

";7500 ₽;0;https://api.chatmarket.io/storage/1757593633714-936254039-MTc1N.jpg;;;03:27 11.09.2025;Без категории
35598;BYREDO Reine De Nuit 50мл;"Оригинал, 50мл.

Мистический аромат Reine de Nuit благоухает королевской розой и дымком в пикантном обрамлении восточных пряностей. Цветочные духи от Byredo Parfums привносят в женский облик пленительность и шарм — и делают ее опасной как колдунья.

Шафран и черная смородина, яркая пикантность и темная терпкость как неизбежное чередование ночей и дней.
Пленительная роза на дымном фоне ладана похожа на картину гениального художника.
Волнующий аромат амбры сияет вокруг кожи аурой соблазна — невидимой и потому особенно манящей.";12000 ₽;0;https://api.chatmarket.io/storage/1758019294283-644659106-aW1hZ.jpg;;;05:28 25.08.2025;Без категории
38931;Versace Eros najim 100мл eau de parfum ;"Versace Eros najim eau de parfum, 100 мл.

Eros Najim Versace — это аромат для мужчин, он принадлежит к группе восточные древесные. Это новое издание: Eros Najim выпущен в 2024 году. Верхние ноты: Карамель и Итальянский мандарин; средние ноты: Кардамон и Уд; базовые ноты: Ладан, Пачули и Ветивер.

";7500 ₽;0;https://api.chatmarket.io/storage/1757594049016-791522409-MTc1N.jpg;;;03:34 11.09.2025;Без категории
35359;Versace pour homme eau de toilette 50 мл;"Оригинал, 50мл

Туалетная вода Versace Pour Homme впитала в себя средиземноморский характер, имея в своем составе ингредиенты местного происхождения. Древесный аромат туалетной воды подойдет умным и сильным мужчинам, привыкшим шагать в ногу со временем. Верхние ноты Pour Homme дарят свежесть и состоят из лимона, бергамота, апельсиновых листьев и нероли. Букет из голубого гиацинта, герани, мускатного шалфея и кедра составляет ноты сердца парфюма. Завершит этот гармоничный образ шлейф из мускуса, агарового дерева и бобов тонка. С Versace вы всегда будете производить впечатление стильного и эффектного мужчины, а стойкий аромат окутает вас чувственностью и шармом на весь день.";4500 ₽;0;https://api.chatmarket.io/storage/1755911564024-47065777-MTc1N.jpg;;;04:12 23.08.2025;Без категории
35361;Versace eros flame eu de parfum 30мл;"Оригинал. 30мл
Наличие других объёмов уточняйте!

принадлежит к группе древесные пряные. Eros Flame выпущен в 2018 году. Парфюмер: Olivier Pescheux. Верхние ноты: Мандарин, Мадагаскарский перец, Лимон, Чинотто и Розмарин; средние ноты: Герань, Роза и Pepperwood™; базовые ноты: Ваниль, Бобы тонка, Сандал, Техасский кедр, Пачули и Дубовый мох.
";4000 ₽;0;https://api.chatmarket.io/storage/1755912713158-512768579-MTc1N.jpg;;;04:31 23.08.2025;Без категории
36171;DAHAB by KAJAL eau de parfum 100мл Тестер;"Оригинал, 100мл, ТЕСТЕР.

Волшебный, гипнотический аромат от KAJAL словно окутывает золотистым сиянием и ощущением роскоши.
Слово DAHAB в переводе с арабского означает «золото», поэтому композиция и флакон парфюмерной воды вызывают ассоциации с этим ценным, благородным металлом. Магию аромата передают искрящиеся верхние ноты зеленого яблока и бергамота.
Оригинальное сочетание яркой и сладкой маракуйи, кедра и семян кориандра окутывает чарами, перед которыми трудно устоять.
Таинственный эликсир дополняют пачули, мускус и амбра, которые делают аромат еще более чувственным и соблазнительным.";8000 ₽;0;https://api.chatmarket.io/storage/1756326406062-439230778-MTc1N.jpg;;;11:25 27.08.2025;Без категории
36174;AMOUAGE Outlands eau de parfum 100мл ТЕСТЕР;"Оригинал, 100мл ТЕСТЕР

Грань воображения. Неизведанные тайны. Магнетизм будущего. Outlands — это приглашение отправиться в запредельное.

Начальная нота неожиданно беззаботна: бодрящий набор ярких цитрусовых, подчеркнутых засахаренным лимоном.
По мере продолжения путешествия богатый, многогранный пачули, в равной степени излучающий тепло, влажность и зелень — заставляет бесстрашного путешественника все глубже и глубже проникать в таинственный ландшафт.
Наконец, янтарный аккорд, отражающийся силой бальзамов и смол, соблазняет перейти в самую скрытую стадию путешествия.";17000 ₽;0;https://api.chatmarket.io/storage/1756327098564-649172812-aW1hZ.jpg;;;11:38 27.08.2025;Без категории
36172;XERJOFF erba pura eau de parfum 50мл;"Оригинал, 50мл

Сердце аромата содержат уникальную молекулу, получаемую из редкого индийского растения. Благодаря особому методу получения, который в Индии называется “Pura”, эта фруктово-цветочная композиция имеет бархатистый шлейф и феноменальную стойкость";8000 ₽;0;https://api.chatmarket.io/storage/1756326699272-399755648-MTc1N.jpg;;;11:31 27.08.2025;Без категории
36173;XERJOFF erba pura eau de parfum 100мл ТЕСТЕР;"Оригинал, 100мл, ТЕСТЕР

Сердце аромата содержат уникальную молекулу, получаемую из редкого индийского растения. Благодаря особому методу получения, который в Индии называется “Pura”, эта фруктово-цветочная композиция имеет бархатистый шлейф и феноменальную стойкость";9000 ₽;0;https://api.chatmarket.io/storage/1756326869559-559022306-MTc1N.jpg;;;11:34 27.08.2025;Без категории
36170;Dior hypnotic poison eau de toilette 100мл;"Оригинал, 100мл

 Hypnotic Poison черпает свои силы из насыщенных нот Абсолю. Очарование cочной притягательности Абсолю Жасмина Самбака в сочетании с ласковым Абсолю Цветка Горького Апельсина окутаны нотами Бобов Тонка, которые призывно источают сладкий аромат. Притягательная сила ноты Лакрицы раскрывается здесь с еще более откровенной смелостью. Подчеркнутая ванилью, она создает непреодолимое влечение, символ мгновенного признания. Воцаряется атмосфера наслаждения и лакомого удовольствия… Магический аромат, Флакон Hypnotic Poison – признанная икона, скандальное воплощение запретного плода. Красное яблоко соблазна, его стекло словно пронизано расплавленной лавой.";8500 ₽;0;https://api.chatmarket.io/storage/1756326057376-131558892-MTc1N.jpg;;;11:20 27.08.2025;Без категории
36169;Guerlain Mon Guerlain Eau de Parfum 100мл оригинал;"Оригинал, 100мл

 Mon Guerlain – это восточный свежий аромат. Свежесть лаванды карла, особая разновидность которой культивируется в Провансе, контрастирует с негой индийского жасмина самбак и белого сандала из Австралии в сочетании с чувственной таитянской ванилью из Папуа-Новой Гвинеи.";7500 ₽;0;https://api.chatmarket.io/storage/1756325811734-990881495-MTc1N.jpg;;;11:16 27.08.2025;Без категории
35940;Creed Aventus eau de parfum 50мл Тестер;"Оригинал, 50мл, ТЕСТЕР!!!

Aventus встречает вас сладкими и сочными верхними нотами бергамота, черной смородины, яблока и ананаса. Затем на коже раскрывается дымное, цветочное сердце из созвучия жасмина, березового дерева, пачули и можжевельника. База аромата – согревающее сочетание мускуса, дубового мха, ванили и серой амбры.";13000 ₽;0;https://api.chatmarket.io/storage/1756221420275-712494103-MTc1N.jpg;;;06:17 26.08.2025;Без категории
35583;Byredo blanche eau de parfum 50мл;"Оригинал, 50 мл.

Мягкий и женственный аромат Байредо Бланш подходит для романтического свидания, встреч с друзьями, для неспешных прогулок. Идея парфюма – игра с невинным белым цветом. Главный аккорд аромата составили белая роза, мускус, розовый перец. Застенчивая фиалка, нежный пион, нероли дополнили хрупкую парфюмерную композицию.  ";9000 ₽;0;https://api.chatmarket.io/storage/1756069039620-975966149-aW1hZ.jpg;;;11:54 24.08.2025;Без категории
35596;BYREDO Gypsy Water;"Оригинал, 50мл.

Вдохновили на создание оригинального аромата унисекс Byredo Parfums Gypsy Water мистические дремучие леса, запахи трав, земли. Парфюм Byredo Parfums Gypsy Water обладает характерным ароматом свободы, загадки и раскрепощённости. Эклектичный аромат проникнут духом свободы жизни цыган. Прекрасно подойдет и мужчине, и женщине. Парфюм создан в 2008 году.

Байредо Цыганская Вода воплощает в себе одновременно итальянские традиции и загадку Ближнего Востока. Ярко чувствуются древесные аккорды и выраженный ориентальный характер.

Натуральные, сбалансированные природные составляющие входят в парфюм Gypsy Water. Можжевельник, лимон, бергамот, перец – верхние ноты. Сердечные аккорды представлены ароматом ладана, сосновых иголок, ириса. Ваниль, амбра, сандал – базовые ноты.
";9000 ₽;0;https://api.chatmarket.io/storage/1756088730575-906223674-MTc1N.jpg;;;05:25 25.08.2025;Без категории
35441;NARCISO RODRIGUEZ narciso poudre Eau de parfum  90мл;"Оригинал, 90мл.

Парфюм открывается сладкими цветочно-дымными аккордами болгарской розы и яркими, солнечными, душистыми, медовыми нотами жасмина. Центр композиции украшен, мягкими, бархатными, обволакивающими пудровыми акцентами, создавая великолепный тандем с чувственным, влекущим запахом мускуса. Завершающим штрихом в создании этого неповторимого богемного парфюма выступает сплетение древесно-дымных аккордов ветивера, тонких, приятных смолистых нюансов белого и черного кедра в роскошный ароматический шлейф. ";6000 ₽;0;https://api.chatmarket.io/storage/1755989390707-867865736-MTc1N.jpg;;;01:49 24.08.2025;Без категории
35595;Dior Fahrenheit eau de toilette 100мл;"Оригинал, 100мл

Fahrenheit выпущен в 1988 году. Fahrenheit был создан Jean-Louis Sieuzac, Michel Almairac и Maurice Roger. Верхние ноты: Цветок мускатного ореха, Лаванда, Кедр, Мандарин, Ромашка, Боярышник, Бергамот и Лимон; средние ноты: Лист фиалки, Мускатный орех, Кедр, Сандал, Гвоздика (цветок), Жимолость, Жасмин и Ландыш; базовые ноты: Кожа, Ветивер, Мускус, Амбра, Пачули и Бобы тонка.";9500 ₽;0;https://api.chatmarket.io/storage/1756088622925-886340531-MTc1N.jpg;;;05:23 25.08.2025;Без категории
35375;Miss dior blooming bouquet 50мл;"Оригинал, 50мл.

Откройте для себя Miss Dior Blooming Bouquet - цветочную и нежную версию аромата Miss Dior. Этот аромат Высокой Моды от Dior создан для юных элегантных девушек. Его изысканный цветочный букет таит в своем сердце аккорды пиона. Распускаясь переливающимися фруктовыми нотами, он оставляет прикосновение свежести и элегантности с оттенком легкой дерзости.";6000 ₽;0;https://api.chatmarket.io/storage/1755915428628-109726584-MTc1N.jpg;;;05:17 23.08.2025;Без категории
35374;Chanel chance eau tendre 35 мл ;"Оригинал, 35мл.

Цветочно-фруктовый аромат, в котором фруктовая свежесть аккорда грейпфрута и айвы сплетается с мягкостью жасмина и чистотой белого мускуса. Поэтический аромат с нежным, деликатным шлейфом.

";6000 ₽;0;https://api.chatmarket.io/storage/1755915185313-822105215-MTc1N.jpg;;;05:13 23.08.2025;Без категории
35442;MANCERA cedrat boise eau de parfum 120мл;"Оригинал, 120мл.

Аромат Cedrat Boise представляет собой оригинальный взгляд на цитрусовые ноты. На создание аромата парфюмера вдохновила атмосфера островов Средиземного моря – Крит, Корфу, Сицилия, Капри, Корсика. Яркие и порой острые переливы аромата напоминают морские блики. Основными компонентами стали цедра лайма, петит-грэйн и непривычный белый перец. Гармонично дополняют их сливочный мускус, лавандин, лимонное дерево и едва узнаваемая кожаная нота.

";9000 ₽;0;https://api.chatmarket.io/storage/1755989569565-212717751-aW1hZ.jpg;;;01:52 24.08.2025;Без категории
35372;Chloe cedrus 50 мл ;"Оригинал, 50мл.

В основе ароматической композиции лежат нежные древесно-мускусные ноты, бархатисто-сливочный сандал, мягкий пряно-лесной запах дубового мха и влажно-древесные оттенки ветивера, украшенные пряно-цитрусовыми искорками кардамона. ";7000 ₽;0;https://api.chatmarket.io/storage/1755914723918-65783302-MTc1N.jpg;;;05:05 23.08.2025;Без категории
35373;Byredo la tulipe 50 мл ;"Оригинал, 50мл

Пленительный цветочный аромат La Tulipe струится тонкой нежностью тюльпанов — изящных символов весны. Обворожительные ноты юной зелени и запах восхитительно тугих бутонов подчеркивают прелесть женских образов. Древесные акценты и ветивер в финале привносят свежесть и прохладу, очарование и шарм.
Верхние ноты: Фрезия, Цикламен и Ревень; средняя нота: Розовый тюльпан; базовые ноты: Зеленые ноты, Ветивер и Древесные ноты.
";9000 ₽;0;https://api.chatmarket.io/storage/1755914997113-730369688-MTc1N.jpg;;;05:09 23.08.2025;Без категории
35371;Yves Saint Laurent libre 50 мл ;"Оригинал, 50мл.

Libre — это уникальное сочетание классики и провокации. Свежие верхние ноты сочного мандарина и нежной лаванды создают яркое первое впечатление, окутывая лёгкостью и утончённостью. В сердце аромата раскрывается чувственный жасмин и апельсиновый цвет, наполняя композицию женственностью и теплом. Завершающий аккорд из ванили, кедра и амбры придаёт аромату глубину, изысканность и по-настоящему роскошный шлейф.";7000 ₽;0;https://api.chatmarket.io/storage/1755914434013-111185552-MTc1N.jpg;;;05:00 23.08.2025;Без категории
35370;AMOUAGE guidance 46 100 мл;"Оригинал, 100мл

Верхние ноты
Груша, Ладан, фундук, Розовая вода, Розовый перец, Горький миндаль
Базовые ноты
Цистус, Сандаловое дерево, Древесина Акигала, Амбра, Ваниль, Амбретта, Георгиевское дерево, Киприол
Ноты сердца
Шафран, Роза, Жасмин Самбак, Османтус";14000 ₽;0;https://api.chatmarket.io/storage/1755914174041-578554089-MTc1N.jpg;;;04:56 23.08.2025;Без категории
35369;Gucci flora 100 мл;"Оригинал, 100мл.

Композиция аромата построена вокруг гардении, которая испокон веков почиталась за свою величественную красоту и, как гласят легенды, использовалась для приготовления чудодейственных эликсиров и волшебных зелий. Таинственная нота белой гардении сливается в сердце аромата с абсолю солнечного крупноцветкового жасмина.
Упоительный нектар радости открывают ноты цветка груши. Аккорд тростникового сахара придает шлейфу изысканную сладость.";9500 ₽;0;https://api.chatmarket.io/storage/1755914039684-632279534-MTc1N.jpg;;;04:53 23.08.2025;Без категории
35368;Bleu de chanel 50 мл;"Оригинал, 50мл

Bleu de Chanel выпущен в 2010 году. Парфюмер: Jacques Polge. Верхние ноты: Грейпфрут, Лимон, Мята и Розовый перец; средние ноты: Имбирь, Мускатный орех, Жасмин и Iso E Super; базовые ноты: Ладан, Ветивер, Кедр, Сандал, Пачули, Лабданум и Белый мускус.";8000 ₽;0;https://api.chatmarket.io/storage/1755913828397-653397774-MTc1N.jpg;;;04:50 23.08.2025;Без категории
35367;AMOUAGE guidance 100 мл;"Оригинал, 100мл.

Верхние ноты
Груша, Ладан, Фундук
Базовые ноты
Цистус, Сандаловое дерево, Дерево Акигала, Амбра, Ваниль
Ноты сердца
Шафран, Роза, Жасмин Самбак, Османтус";14000 ₽;0;https://api.chatmarket.io/storage/1755913686540-329133560-MTc1N.jpg;;;04:48 23.08.2025;Без категории
35366;GUCCI guilty elixir de parfum 60 мл ;"Оригинал, 60мл.

Аромат имеет ноты амбры и кожи, которые дополняют драгоценные пачули, фирменный ингредиент Gucci Guilty, в большей концентрации для создания насыщенной композиции. Букет представлен в ярком цветном флаконе, который отражает женскую версию аромата в изящной симметрии.
";9000 ₽;0;https://api.chatmarket.io/storage/1755913541117-597461896-MTc1N.jpg;;;04:45 23.08.2025;Без категории
35365;Dior Sauvage eau de parfum 60 мл;"Оригинал. 60мл

Sauvage Eau de Parfum выпущен в 2018 году. Парфюмер: François Demachy. Верхняя нота: Бергамот; средние ноты: Сычуанский перец, Лаванда, Звездчатый анис и Мускатный орех; базовые ноты: Ambroxan и Ваниль.";7500 ₽;0;https://api.chatmarket.io/storage/1755913363866-310179494-MTc1N.jpg;;;04:42 23.08.2025;Без категории
35364;Dior j’adore eau de parfum 50 мл;"Оригинал, 50мл

Оригинальные женские духи Dior J`adore произносятся Диор Жадор, принадлежат к семейству цветочный. В состав композиции входят ноты: Цитрусовые ноты, Мандарин, Нероли, Жасмин, Апельсиновый цвет, Иланг иланг, Тубероза, Роза, Древесные ноты, Ваниль. Приятный цветочный запах аромата J`adore оставляет легкий интересный шлейф

";6500 ₽;0;https://api.chatmarket.io/storage/1755913187268-572507643-MTc1N.jpg;;;04:39 23.08.2025;Без категории
35363;TERRE D’HERMES eau de toilette 50 мл;"Оригинал, 50 мл

Мощь цитрусовых и перцев в сочетании с ароматом кремниевого камня олицетворяют дух земли. Terre d’Hermès – это история отношений человека с землей, история чуткого и уважительного диалога, который ведет он с природой и ее стихиями. Terre d’Hermès – это аромат, который связывает человека с его корнями, с истоками его созидательной силы.";5000 ₽;0;https://api.chatmarket.io/storage/1755913008523-461064742-MTc1N.jpg;;;04:36 23.08.2025;Без категории
35360;GUERLAIN Aqua Allegoria Mandarine Basilic eau de toilette 75 мл;"Оригинал, 75мл

Aqua Allegoria Mandarine Basilic Guerlain — это аромат для женщин, он принадлежит к группе цитрусовые фужерные. Aqua Allegoria Mandarine Basilic выпущен в 2007 году. Парфюмер: Marie Salamagne. Верхние ноты: Клементин, Горький апельсин, Цветок апельсина, Зеленый чай и Плющ; средние ноты: Мандарин, Базилик, Ромашка и Пион; базовые ноты: Сандал и Амбра.";8500 ₽;0;https://api.chatmarket.io/storage/1755911649896-464910267-MTc1N.jpg;;;04:14 23.08.2025;Без категории
35362;Burberry Blush eau de parfum 90мл;"Оригинал, 90мл

Аромат My Burberry Blush – скромное обаяние фруктов и цветов – будет уместен для всех случаев жизни. Марка Burberry как всегда идет в ногу со временем и предлагает современную формулу, в которой есть натуральные нотки, оттенки ухаживающей косметики и элегантность. Сочный лимон и гранат формируют верхние ступеньки пирамиды. Зеленое яблоко, лепестки розы и герань – сердечный аккорд наполнен романтикой, а для базы также использованы цветочные ноты жасмин, вистерии и ни капли мускуса!
";7000 ₽;0;https://api.chatmarket.io/storage/1755912852645-432281537-MTc1N.jpg;;;04:34 23.08.2025;Без категории
35358;Kilian princess eau de parfum 100мл;"Оригинал, 100мл

Киллиан Принцесс – это непревзойденный запах, который относится к восточно-ванильной группе. Пирамида начинает звучать и раскрываться на коже легкими и дерзкими нотками уже с первого пшика:

начинается звучание композиции с искрящегося свежего лимона;
сердечными нотками являются жасмин, зеленый чай, яблоко, персик, гедион, которые разбавлены терпкостью имбиря;
завершает свое звучание парфюм непревзойденным шлейфом, сотканным из сладких волнующих нот ванили, маршмеллоу и бензоина.";12000 ₽;0;https://api.chatmarket.io/storage/1755911470534-958853242-MTc1N.jpg;;;04:11 23.08.2025;Без категории
35356;Versace Eros eau de toilette 100мл;"Оригинал, 100мл

Eros Versace — это аромат для мужчин, он принадлежит к группе фужерные. Eros выпущен в 2012 году. Парфюмер: Aurélien Guichard. Верхние ноты: Мята, Зеленое яблоко и Лимон; средние ноты: Бобы тонка, Ambroxan и Герань; базовые ноты: Мадагаскарская ваниль, Вирджинский кедр, Атласский кедр, Ветивер и Дубовый мох.";7500 ₽;0;https://api.chatmarket.io/storage/1755911253344-35702836-MTc1N.jpg;;;04:07 23.08.2025;Без категории
35355;baccarat rouge 540 35мл eau de parfum;"Оригинал, 35мл

Baccarat Rouge 540 Maison Francis Kurkdjian — это аромат для мужчин и женщин, он принадлежит к группе восточные цветочные. Baccarat Rouge 540 выпущен в 2015 году. Парфюмер: Francis Kurkdjian. Верхние ноты: Шафран и Жасмин; средние ноты: Amberwood, Серая амбра и Гедион; базовые ноты: Еловая смола, Кедр, Сахар, Ambroxan и Дубовый мох.";12000 ₽;0;https://api.chatmarket.io/storage/1755911151077-6560237-MTc1N.jpg;;;04:05 23.08.2025;Без категории
35357;TRUSSARDI donna eau de parfum 100 мл;"Оригинал, 100мл.  

Donna Trussardi 2011 Trussardi — это аромат для женщин, он принадлежит к группе восточные цветочные. Donna Trussardi 2011 выпущен в 2011 году. Парфюмер: Nathalie Lorson. Верхние ноты: Фруктовые ноты, Юзу и Лимон; средние ноты: Жасмин, Африканский апельсиновый цвет и Лотос; базовые ноты: Ваниль, Сандал, Пачули и Вирджинский кедр.

";5000 ₽;0;https://api.chatmarket.io/storage/1755911343277-361429115-MTc1N.jpg;;;04:09 23.08.2025;Без категории
35354;TOM FORD Ombre leather eau de parfum 50 мл;"Оригинал, 50мл.

TOM FORD OMBRÉ LEATHER - цветочный кожаный аромат напоминает пейзаж американского юго-запада, где скалы и песчаные дюны простираются вдаль, сливаясь воедино с горизонтом. Пряные пачули и ветивер делают чувственные ноты кожи еще более осязаемыми, а вся красота дикой пустыни раскрывается нотами белых цветов жасмина самбак. Сочетание нот амбры и мха позволяют ощутить жар, исходящий от скал и раскаленных песков пустыни.

«OMBRÉ LEATHER — фактурная композиция, впечатляющая своей осязаемой чувственностью. С этим ароматом ощущаешь себя особенным, не похожим ни на кого, привлекательным и желанным», — ТОМ ФОРД.
TOM FORD OMBRÉ LEATHER EAU DE PARFUM заключен в гладкий матовый черный флакон с логотипом из искусственной кожи.";9000 ₽;0;https://api.chatmarket.io/storage/1755910999442-218781695-MTc1N.jpg;;;04:03 23.08.2025;Без категории
35353;TOM FORD Noir extreme eau de parfum 50 мл;"Оригинал, 50мл

Noir Extreme Tom Ford — это аромат для мужчин, он принадлежит к группе восточные древесные. Noir Extreme выпущен в 2015 году. Парфюмер: Sonia Constant. Верхние ноты: Кардамон, Мускатный орех, Шафран, Мандарин и Нероли; средние ноты: Кульфи, Роза, Мастиковое дерево, Жасмин и Цветок апельсина; базовые ноты: Ваниль, Амбра, Древесные ноты и Сандал.";9000 ₽;0;https://api.chatmarket.io/storage/1755910878669-870332966-MTc1N.jpg;;;04:01 23.08.2025;Без категории
35352;TOM FORD Noir eau de parfum 50 мл;"Оригинал, 50мл.

Ноты сердца сочетают в себе аккорды черного перца, тосканского ириса, мускатного ореха, а также болгарской розы, герани и шалфея. База представлена смолистым опопонаксом, индонезийской пачули, ветивером, амброй, ванилью, стираксом, кожей и бензоином.

";9000 ₽;0;https://api.chatmarket.io/storage/1755910762033-707761332-MTc1N.jpg;;;03:59 23.08.2025;Без категории
35351;TOM FORD eau d'ombre leather eau de parfum 100 мл;"Оригинал. 100мл

Аромат раскрывается пряными нотами кардамона и шафрана, звучание которых дополняют цветочные, притягательно сладкие акценты индийского жасмина из самого сердца пустыни.";14000 ₽;0;https://api.chatmarket.io/storage/1755910575771-778984476-MTc1N.jpg;;;03:56 23.08.2025;Без категории
35349;GIVENCHY Irresitible Eau de Parfum 50мл;"Оригинал, 50мл

Восхитительная Роза сверкает, раскрываясь в начале фруктовыми сочными нотами, подчеркнутыми игривым трио Груши, Амбретты и пудровой ноты Ириса. Это великолепное цветочно-фруктовое сочетание с аккордом Кедра и Янтарного дерева, создает легкое волнение перед тем, как объединиться с едва уловимой нотой Мускуса. Яркий, бодрящий и жизнерадостный аромат Irresistible Givenchy - это смелый призыв вырваться на свободу!

• Верхние ноты: Аккорд Груши, Абсолют Амбретты
• Ноты сердца: Эссенция Розы, масло Ириса
• Базовые ноты: Эссенция Кедра, Янтарно дерево, Мускус";7000 ₽;0;https://api.chatmarket.io/storage/1755910208993-155398067-MTc1N.jpg;;;03:50 23.08.2025;Без категории
35350;AJMAL amber wood eau de parfum 100 мл;"Оригинал, 100мл

 В 2014 году AJMAL обращается к более утонченной парфюмерной гамме, открывая коллекцию SIGNATURE ароматом Amber Wood «W»-серии. Подколлекция «W» названа заглавной буквой слова «Wood», и все ее наполнение раскрывает красоту и богатство древесного аккорда, являя его теплые и сладковатые оттенки свежего спила, густой и тягучий смолистый нюанс, и множество других – от ясной свежести молодой листвы до горечи тленных корней и мхов.
Парфюмерная вода унисекс Amber Wood от AJMAL, - это настоящий шедевр, блистающий самым изысканным благоуханием амбры, с ее карамельно-ореховыми, древесно-пряными и кожно-анимальными оттенками. Аромат насыщенный и глубокий, каждая капля этого аромата пленительна, чувственна и сильна.
";10000 ₽;0;https://api.chatmarket.io/storage/1755910368713-884287343-MTc1N.jpg;;;03:52 23.08.2025;Без категории
35347;GIORGIO ARMANI My Way eau de parfum 50мл;"Оригинал, 50мл.

Верхние ноты: Цветок апельсина и Бергамот; средние ноты: Тубероза и Индийский жасмин; базовые ноты: Мадагаскарская ваниль, Белый мускус и Вирджинский кедр.
";7000 ₽;0;https://api.chatmarket.io/storage/1755909904292-506303105-MTc1N.jpg;;;03:45 23.08.2025;Без категории
35348;TIFFANY Tiffany & Co eau de parfum 75мл;"Оригинал, 75 мл

Верхние ноты: Мандарин, Бергамот и Лимон; средние ноты: Ирис, Роза, Черная смородина и Персик; базовые ноты: Мускус и Пачули";9500 ₽;0;https://api.chatmarket.io/storage/1755910013800-192481673-MTc1N.jpg;;;03:46 23.08.2025;Без категории
35345;Yves Saint Laurent Black Opium eau de parfum 50мл;Оригинал. 50мл;6000 ₽;0;https://api.chatmarket.io/storage/1755908402465-636757428-MTc1N.jpg;;;03:20 23.08.2025;Без категории
35346;Gucci Bloom eau de parfum 50мл;"Оригинал, 50мл
Верхние ноты: Нероли, Бергамот, Мандарин и Лимон; средние ноты: Тубероза, Жасмин, Цветок апельсина и Квисквалис индийский; базовые ноты: Мускус и Сандал.";7000 ₽;0;https://api.chatmarket.io/storage/1755909744767-807703997-MTc1N.jpg;;;03:42 23.08.2025;Без категории